;Telescope run;Temperature;nChannels;Name;Voltage;;;;;;;;;;;;;;;;
0;0;-30;6;W4-S203;55;W4-S215;55;W4-S1061;80;W4-S1022;80;SiPM-AFP;26,5;W4-S204_6e14;250;W4-S204_6e14;250;SiPM-AFP;26,5;;
0;0;20;6;W9-LGA-44;160;W4-S1030;160;W4-SLG12;60;SiPM-AFP;26,5;x;x;x;x;x;0;x;x;;
0;0;20;6;W9-LGA-44;180;W4-S1030;180;W4-SLG12;70;SiPM-AFP;26,5;x;x;x;x;x;0;x;x;;
0;0;20;6;W9-LGA-44;200;W4-S1030;200;W4-SLG12;80;SiPM-AFP;26,5;x;x;x;x;x;0;x;x;;
0;0;#REF!;6;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;;
0;0;#REF!;6;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;;
0;0;#REF!;6;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;;
0;0;#REF!;6;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;;
0;0;20;6;W9-LGA-44;210;W4-S1030;210;W4-SLG12;100;SiPM-AFP;26,5;x;x;x;x;x;0;x;x;;
0;0;20;6;W9-LGA-44;220;W4-S1030;220;W4-SLG12;110;SiPM-AFP;26,5;x;x;x;x;x;0;x;x;;
0;0;20;6;W9-LGA-44;230;W4-S1030;230;W4-SLG12;115;SiPM-AFP;26,5;x;x;x;x;x;0;x;x;;
0;0;20;6;SiPM-LAL;-53,4;SiPM-AFP;-53,4;SiPM-UCSC 6;27;SiPM-UCSC 3;26;x;x;x;x;x;0;x;x;;
0;0;20;6;SiPM-LAL;-53,7;SiPM-AFP;-53,7;SiPM-UCSC 6;26,5;SiPM-UCSC 3;26;x;x;x;x;x;0;x;x;;
0;0;20;6;1;SiPM-LAL;2;SiPM-LAL;3;SiPM-UCSC 6;4;SiPM-UCSC 3;x;x;x;x;x;x;x;x;;
0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
